wallet,wallet_type,n_participations,pnl
0x18029e5df56eb00abb2bf582cdb0136b29c87064,bot,105,-0.09464400000011608
0xb878a54083e5f6528ed28a3daac23d5d540916e0,active_retail,108,59947.431378000016
0xd0ec1e082e164cad0705817e4a41b3eef161717d,active_retail,180,82.95115499999883
0x9af65c17b278d936f0aebe7c7ac4e711bce086a9,active_retail,187,-47.710966000001754
0x78cfb840f0a1ce58afd35a60dfc904ad232d1801,bot,104,11713.978590000002
0x4a0b377d0655542e1a3da3162cae414ca02d2e4a,bot,142,0.0014179999989210046
0xda6fa39fe47572d69067fe4b40146474e9d8ccf4,bot,200,8224.848059999995
0x890cf1f1218a9cba7a6b74f5d94569beedb25659,active_retail,112,117.36027400000044
0x36298db833a1bc840687a48e5258affd07699d8d,active_retail,211,2408.4094389999996
0x7e94044479ecaf25fe4771d851c85f1425119bae,sophisticated,157,13842.105183999998
0x54395d3e1bec74c6bd2b2243284c9ea03d6c6c5a,bot,114,1353.0510930000005
0x48f34f3edc680dfe541f690e60a4387a6af89e4a,active_retail,82,7604.040692999999
0x0924588df156a51f021cd3cd2c1ec85d5647d8ba,active_retail,153,49.00286500000012
0x9cc92a61fbf6d09a2b6d90e47d5a5a41776c7f52,active_retail,193,-3281.5269960000105
0x1318dec25dbf823dda2db633d33d92467aade140,active_retail,298,-1.7871449999995566
0x140a25cd5dbba61238956e48fa24cd1b1f2a15eb,bot,37467,9889.169254000253
0x25e28169faea17421fcd4cc361f6436d1e449a09,bot,311,52044.98565099998
0xbe8b476070be7214c04e2b73ef56ad933157d14d,bot,651,69309.18983200002
0x6287874e98e25aa4f70c9e0a614e5eb0d95c84c5,active_retail,365,50.42580299999938
0xf74ed809cd3a89b0e6878aaacfa9ba1b7b0ddda4,sophisticated,314,-3865.7649100000103
0xccdb7d6b741aba0873690476fa14b365f403ffa9,sophisticated,789,-91564.27731200003
0xb543133e0027ea46ff027365c05da9eb5a9f410f,active_retail,258,96.54619100000633
0xf0061ba5b01c2fe3a821824cf273427333981b00,active_retail,203,13817.169912000003
0x6c852cda2f54a7b802ea57382adb382acbfc94a4,active_retail,222,54446.165741000004
0x9c0552569ba682d1e74d09cf1642b535811e85fb,active_retail,319,41936.766852999994
0x557b6d9e9e207eb0c5b14a9c0cb1a2ad2604422b,active_retail,186,-40.22666499999691
0x2edaf14e8d908ff4d8f76c8d87724e2c480953d8,bot,491,47.69017699999904
0xe4e2b203b9d50dacc3e640e319df8b999164f26c,sophisticated,729,134068.79177999997
0x6e4ec81dce3c1c0713781bb392a14ec5dc50ec98,bot,307,426159.42061500007
0x7b431ae038912786e9a4726bb436ec1c0f4cd0bb,sophisticated,136,10690.344455
0x24d82029f40bd3ebb01b013dba591c0c820e5403,active_retail,150,126.56943999999883
0xc94a2031b8b4cc4cf77eac0fd0e0b982b7b29401,bot,2181,122071.23894199997
0x0833eca3294c30d41c5268c56530cfcbdcfebba3,active_retail,147,52240.215656
0x445d1d652e3e80d0a88dd3b19d0405c4b55f3326,active_retail,76,-71.80000000000003
0xf3a019f6df9e7956f1fffba53204c35367bff189,bot,93,-0.1026520000000346
0xcd61108183ba96582e223d41eb2630a58122f0ae,active_retail,148,4140.383955000001
0x4c9513d634e117d05ce5d52dd4f6955957cdd35f,active_retail,157,-634.430872000001
0xfa53065aeda716621f6e2939bea2a00d75cd0149,active_retail,583,396705.691392
0x291523d3523997d3d71e98e360102ea0dd37e280,sophisticated,363,126.34082300003774
0xdf52d081c4d25e43fbaa1f3608d3fcd22efc090d,active_retail,241,5965.728370999998
0x3928faf6e1bd6763ee13e89aca1cff401e9515e4,sophisticated,661,58537.16527799998
0x65cdbbe0fa6975f641d37afeb32b9d9680151e0b,bot,1139,-15495.056003000025
0xb8596e2e7c2c26b37785a080849fcf22263ce244,bot,1823,115561.58130100006
0xa7b38015ffb0f3fe69e3a71d904ff9f3452892f8,sophisticated,441,208275.63011999993
0xe31678f3b86de34bc33b0c974d281e81ade8160c,active_retail,176,-16.792104000001814
0xe8dd21003e7bd102a90ed6817e38afcb58a4b684,bot,138,82853.32558700003
0xa9094b61c2489514a0da52c7418c08e391466bad,bot,3680,-55.347589999999514
0x88fc8338c846520b03e52cb734e11d20b291558d,bot,353,14521.033826999977
0x474e5f30fed39686e208906d8be17d58658763a2,active_retail,996,-1.4941290000554155
0xe56d7659aa253772410982916ce46913f52bd7d2,sophisticated,830,138267.00304699977
0xf3b0df9db73e65fb5c355aef2234a521765d7ec4,active_retail,119,4.271401000002784
0x44afb452e9faab51c16691ed4cdae11555d1c386,bot,1824,53619.59889299998
0x49cc1e9a27ebf1c419e95e8d0ebaa2e86f1be616,active_retail,182,95591.60386399998
0xff2a3b5fcbd3ce7f1c6eb5881acc7cc03bf3250d,sophisticated,274,-547.4112790000001
0x8af3d6a7885f3a3f3b0d10744d3793adeba6f608,bot,88,9984.916016000003
0x168cffce330225e92733485bea407cf51bbda34d,bot,118,2810.211145
0x9a518e2c8c41311a0fa10135f443b9185644a371,active_retail,143,6.040155999999554
0x3d036f40b22243ada7342a793bd3202267446a17,bot,89,19711.415846
0x92d2df3b1ab87b197547ea6d9e87a121aec365c3,active_retail,139,1.042268000000492
0xf68973adf7a31dcf53cebbe2c7016f99dbb98b15,sophisticated,423,17819.304975
0xa59cf205950f619238ff7d467c235007bfdc6338,active_retail,77,16777.956208
0x506bce138df20695c03cd5a59a937499fb00b0fe,bot,7248,123938.2504989999
