total_trades,total_usd_volume,participations_bot,participations_active_retail,participations_sophisticated,participations_casual,participations_one_shot,participation_volume_bot,participation_volume_active_retail,participation_volume_sophisticated,participation_volume_casual,participation_volume_one_shot,participations_unclassified,participation_volume_unclassified,active_wallets,flagged_active,total_participations,share_bot,share_active_retail,share_sophisticated,share_casual,share_one_shot,new_wallets,date,total_usd_volume_ma4w,total_usd_volume_ma13w,total_usd_volume_ma52w,total_usd_volume_z52w,new_wallets_ma4w,new_wallets_ma13w,new_wallets_ma52w,new_wallets_z52w,week
5444,922600.6093950012,7346.0,1683.0,1582.0,258.0,19.0,1360366.6036870007,215741.70878199983,245291.6660429999,22077.218748,1724.02153,0.0,0.0,797,8,10888,0.6746877296105804,0.1545738427626745,0.1452975753122704,0.023695811903012492,0.0017450404114621601,258,2023-10-30,946525.0223674993,807970.1835373074,641596.1991132124,0.4917648434784448,169.25,144.46153846153845,160.19148936170214,0.5333105674696836,2023-W44
5727,785673.5770389999,7723.0,2018.0,1550.0,156.0,7.0,1157291.6533990004,130041.28253199994,253050.383154,30674.968267,288.866726,0.0,0.0,746,8,11454,0.6742622664571328,0.17618299284092892,0.13532390431290378,0.013619696176008382,0.0006111402130260171,120,2023-11-06,925658.1955779993,763065.3061619228,644597.811153333,0.24938660024734682,167.0,132.84615384615384,159.35416666666666,-0.21679157625470202,2023-W45
6167,929988.1360649976,8806.0,1836.0,1484.0,188.0,20.0,1448285.6945929974,172134.34678400005,223276.456104,14389.299447999994,1890.475201,0.0,0.0,765,8,12334,0.713961407491487,0.14885681855034863,0.12031782065834279,0.015242419328684935,0.0016215339711366952,215,2023-11-13,939937.2376277489,743436.3091539226,650422.1034984691,0.4981130475572989,181.25,131.07692307692307,160.48979591836735,0.30316308702237776,2023-W46
6688,830482.6631709995,8858.0,2158.0,2139.0,210.0,11.0,1125311.975833,155222.92545999994,354489.21427799994,25462.284726999995,478.926044,0.0,0.0,866,6,13376,0.6622308612440191,0.16133373205741627,0.15991327751196172,0.015699760765550238,0.0008223684210526315,139,2023-11-20,867186.2464174995,757644.9243933072,654023.3146919197,0.3173290068223113,183.0,129.69230769230768,160.06,-0.1183234928683954,2023-W47
4474,551839.1900730003,6426.0,1305.0,1063.0,142.0,12.0,860606.4150110004,93701.06725399997,135774.91929100003,12165.614676,1430.3639139999998,0.0,0.0,610,3,8948,0.7181493071077336,0.1458426464014305,0.11879749664729548,0.01586946803755029,0.0013410818059901655,203,2023-11-27,774495.8915869993,735814.2232940764,652019.7044052741,-0.1819234407736959,169.25,139.46153846153845,160.90196078431373,0.23878592068750884,2023-W48
5545,920544.4702189988,8045.0,1630.0,1159.0,236.0,20.0,1424800.6548779989,224398.0161530001,160683.98418099998,30658.608735,547.6764909999999,0.0,0.0,788,6,11090,0.7254283137962128,0.14697926059513075,0.10450856627592425,0.02128043282236249,0.0018034265103697023,114,2023-12-04,808213.6148819991,765277.7846956147,657183.6422093844,0.4818881065160137,167.75,143.07692307692307,160.0,-0.26333192661399324,2023-W49
5234,828462.0134849984,8093.0,1213.0,1054.0,100.0,8.0,1379117.234691995,110460.58241899995,146196.80654099997,20738.472420999995,410.930897,0.0,0.0,586,5,10468,0.773118074130684,0.11587695834925488,0.10068781047000382,0.009552923194497517,0.0007642338555598013,142,2023-12-11,782832.0842369993,803429.7665467685,673108.7991994804,0.2882154975477691,149.5,144.15384615384616,162.6346153846154,-0.11904898947414112,2023-W50
4595,696813.7108790006,6901.0,1376.0,757.0,147.0,9.0,1069696.5915930008,195747.083819,103936.55071699998,23342.056202,905.139427,0.0,0.0,600,5,9190,0.7509249183895539,0.14972796517954298,0.0823721436343852,0.015995647442872688,0.0009793253536452666,113,2023-12-18,749414.8461639995,826913.0356235378,686499.4481155958,0.019440209161626074,143.0,144.6153846153846,164.73076923076923,-0.30071323014242696,2023-W51
4392,774779.5252719996,6672.0,1163.0,786.0,156.0,7.0,1163804.5826979997,212838.73979899992,127764.528857,43581.119654,1570.0795360000002,0.0,0.0,582,4,8784,0.7595628415300546,0.13239981785063754,0.08948087431693989,0.017759562841530054,0.0007969034608378871,522,2023-12-25,805149.9299637494,841585.412538384,701392.8903556727,0.14066282668001048,222.75,179.30769230769232,174.73076923076923,1.9574227065438061,2023-W52
11656,3805467.4136810014,16074.0,3845.0,2570.0,743.0,80.0,4852426.939467002,1607222.4966749998,800431.0260439998,295377.164988,55477.200188,0.0,0.0,1396,8,23312,0.6895161290322581,0.16493651338366508,0.11024365133836651,0.03187199725463281,0.0034317089910775567,1519,2024-01-01,1526380.6658292501,1070011.5991810763,772490.7811223841,4.525976373133232,574.0,289.53846153846155,198.48076923076923,5.13629691549808,2024-W01
21145,10041613.61307599,26715.0,7589.0,5614.0,2127.0,245.0,11212309.376950992,4900696.042911999,2823906.633147,995589.28688,150725.886262,0.0,0.0,2430,14,42290,0.6317096240245921,0.1794514069519981,0.13275005911563018,0.050295578150863086,0.005793331756916529,290,2024-01-08,3829668.5657269983,1775586.4244794606,964863.5893335188,6.285432368918826,611.0,301.9230769230769,202.09615384615384,0.3419929568117276,2024-W02
13899,4655707.458218993,22239.0,2594.0,2651.0,293.0,21.0,7438639.052350999,843114.8140099994,968249.1177010004,55414.800683,5997.131692999999,0.0,0.0,1088,8,27798,0.8000215842866393,0.09331606590402187,0.0953665731347579,0.010540326642204475,0.00075545003237643,258,2024-01-15,4819392.002561997,2066573.769891229,1054140.6190689416,2.3611737483581963,647.25,309.61538461538464,206.67307692307693,0.20061787442160692,2024-W03
16159,6787868.811083986,26205.0,2577.0,3249.0,270.0,17.0,11515313.531184992,556004.5276029998,1452704.210153,50895.471467,819.88176,0.0,0.0,1126,10,32318,0.8108484435918064,0.07973884522557088,0.10053221115168018,0.008354477381026054,0.0005260226499164552,324,2024-01-22,6322664.324014993,2502449.322435228,1183829.5705656144,3.2716297135303267,597.75,324.38461538461536,211.92307692307693,0.43885005848788605,2024-W04
13346,6196806.561483999,21318.0,2227.0,2860.0,252.0,35.0,9780735.538518,1483728.1965929992,1090106.4144799998,31250.75508700001,7792.21829,0.0,0.0,1178,10,26692,0.798666267046306,0.08343323842349767,0.10714820920125881,0.009441031020530496,0.0013112543084070132,584,2024-01-29,6920499.110965743,2908157.4725959203,1301940.6034175951,2.65945592102201,364.0,349.46153846153845,222.3653846153846,1.3944817342035085,2024-W05
18109,7035412.114770992,28334.0,3323.0,3837.0,641.0,83.0,10878956.554825986,1261521.9874020002,1764448.6909869995,131388.20380099997,34508.792526,0.0,0.0,1675,10,36218,0.7823181843282346,0.09174995858412943,0.10594179689657077,0.01769838201999006,0.002291678171075156,566,2024-02-05,6168948.736389493,3388906.590882997,1435142.481205018,2.8049795903379118,433.0,383.7692307692308,232.26923076923077,1.2714777027857678,2024-W06
17585,5384398.299756995,27335.0,4001.0,3430.0,376.0,28.0,8903170.815081988,654819.067413,1156191.753613,51549.67999899999,3065.283407000001,0.0,0.0,1520,7,35170,0.7772249075916975,0.11376172874609042,0.0975263008245664,0.010690929769690077,0.000796133067955644,330,2024-02-12,6351121.446773994,3731553.526551612,1533532.877430018,1.8667510469685324,451.0,392.61538461538464,237.01923076923077,0.35494952570581695,2024-W07
