week,wallet_type,alpha,alpha_se,r2,n_trades,n_bins_used,mean_cal_error,longshot_fraction,date
2024-W41,sophisticated,0.6246247446557627,0.0051117353212271,0.927535463930989,65482,10,0.0889801777587734,0.1320057420359793,2024-10-07
2024-W42,active_retail,0.2430118740812901,0.0012564277933133,0.6235313343555193,395809,10,0.2587865611949198,0.1068848863972269,2024-10-14
2024-W42,bot,0.3758809982823221,0.000636874067873,0.7933885448222496,1867029,10,0.1828805283688683,0.2135178403763412,2024-10-14
2024-W42,casual,0.3644489058174072,0.0202735154386793,0.7370989044238724,926,10,0.2174946004319654,0.101511879049676,2024-10-14
2024-W42,sophisticated,0.4802083219021171,0.0031908530258478,0.8205126837534192,91516,10,0.1530333493596748,0.1615455220944971,2024-10-14
2024-W43,active_retail,0.3086292714521558,0.0015314200031055,0.612580795031063,319208,10,0.2253925340217037,0.1535049246886043,2024-10-21
2024-W43,bot,0.4321574118006475,0.0006540246654181,0.7181401866890867,2219368,10,0.1672057540705281,0.2566951492496963,2024-10-21
2024-W43,casual,0.2415563962332914,0.0121608462002583,0.5926986775699936,4758,10,0.2254308532997057,0.2711223203026481,2024-10-21
2024-W43,sophisticated,0.2861740153117174,0.001564097177344,0.5858752204113968,187567,10,0.2519758273043765,0.155960270196783,2024-10-21
2024-W44,active_retail,0.6422966162531203,0.0041878375958171,0.9631270812450048,143449,10,0.0573566215170548,0.2826091502903471,2024-10-28
